MB_num_2006  CAU_num_2006  NZDep2006  NZDep_score_2006  UR_pop_2006  
0000100      500206                 10              1202            3
0000200      500206                 10              1202           87
0000300      500206                 10              1202           75
0000400      500206                 10              1202           24
0000501      500206                  9              1110            0
0000502      500206                  9              1110           24
0000600      500206                  9              1110           45
0000700      500206                  9              1110           66
0000800      500206                 10              1186          150
0000900      500206                  8              1065           27
0001000      500207                  8              1065           63
0001100      500207                  8              1065           72
0001201      500207                  7              1026           75
0001202      500207                  7              1026            3
0001203      500207                  7              1026          111
0001204      500207                  8              1031          156
0001301      500207                  8              1062          132
0001302      500207                  8              1043          231
0001400      500208                  8              1063           51
0001500      500208                  8              1063           24
0001600      500208                  8              1063            0
0001700      500208                  8              1063            0
0001800      500208                  8              1063           81
0001900      500208                  8              1063           48
0002000      500208                 10              1139           57
0002100      614601                 10              1139            0
0002200      500208                  6               985          249
0002300      500208                  6               989          252
0002400      500208                 10              1139           84
0002500      500202                 10              1139            0
0002603      500202                  8              1035           33
0002604      500202                  8              1035           81
0002605      500202                  9              1084           75
0002606      500202                 10              1211          126
0002607      500202                  9              1084           51
0002608      500202                  7              1016           33
0002609      500202                  7              1002           63
0002610      500202                  7              1002          114
0002611      500202                  7              1016           78
0002700      500202                  8              1039          129
0002800      500208                  8              1057           63
0002900      500202                  8              1052          108
0003000      500202                  8              1057           51
0003100      500202                  8              1039           72
0003200      500202                  8              1059          138
0003300      500202                  9              1074          210
0003400      500202                  9              1074           36
0003500      500203                  8              1070          129
0003600      500202                 10              1240           60
0003701      500202                  9              1127           42
0003702      500202                  9              1127           66
0003800      500202                  8              1066          213
0003900      500202                 10              1203          219
0004000      500202                  9              1125          183
0004101      500203                  8              1038          165
0004102      500203                  7              1016          141
0004103      500203                  7              1011          207
0004200      500203                  7              1016          225
0004301      500203                 10              1160           99
0004302      500203                  5               959          150
0004400      500202                  7              1010          120
0004500      500202                  7              1010            6
0004600      500202                  7              1010           12
0004700      500202                  7              1010           15
0004800      500202                  7              1010           42
0004900      500203                  8              1052          201
0005000      500203                  9              1126           75
0005100      500203                  9              1126          162
0005201      500202                  8              1040           48
0005202      500203                  8              1040           12
0005300      500202                  8              1040            0
0005400      500202                  8              1040            3
0005500      500202                  8              1060          210
0005600      500202                  8              1040          312
0005700      500202                 10              1212          189
0005800      500208                  8              1052            9
0005900      500202                  8              1033          108
0006000      500202                  8              1033           42
0006100      500202                  9              1073           51
0006200      500202                  9              1073           30
0006300      500202                  7              1024          123
0006400      500202                  7              1024           42
0006500      500202                  9              1073           96
0006600      500202                  6               984          162
0006700      500202                  8              1050          183
0006800      500202                  8              1037           75
0006900      500202                  8              1066          135
0007000      500202                  8              1037           27
0007101      500100                  9              1098            3
0007102      500100                  9              1098           12
0007201      500100                  9              1098           36
0007202      500100                  9              1098           63
0007300      500100                  8              1067          117
0007400      500208                  8              1041           45
0007500      500208                  8              1041           51
0007600      500208                  8              1041           96
0007700      500208                  7              1020           57
0007801      500208                  7              1020           36
0007802      500100                  7              1020            3
0007900      500208                  9              1124          183
0008000      500208                  7              1020            6
0008100      500208                  9              1092           33
0008200      500204                  9              1092           90
0008301      500204                  6               996          144
0008302      500301                  9              1111            0
0008401      500204                  5               960           72
0008403      500302                  9              1111            9
0008404      500302                  9              1111           48
0008501      500204                  5               960           42
0008502      500302                  8              1055          129
0008600      500204                  6               986           87
0008700      500204                  6               986           51
0008800      500204                  6               986           57
0008901      500204                  9              1092            0
0008902      500204                  9              1092           78
0009001      500204                  9              1077           33
0009002      500301                  9              1111            3
0009101      500204                  3               924          189
0009102      500301                  9              1111           51
0009103      500301                  9              1111           39
0009200      500204                  5               960           42
0009300      500204                  6               981           84
0009400      500204                  6               981          129
0009500      500204                  9              1077           48
0009600      500204                  9              1077           21
0009700      500204                  6               986           93
0009800      500205                  9              1077            0
0009900      500204                  9              1077           12
0010001      500205                  8              1049          144
0010002      500205                  6               977          129
0010003      500205                 10              1222          144
0010004      500205                  6               977            6
0010101      500205                 10              1205          162
0010102      500205                 10              1169          117
0010200      500205                 10              1169            6
0010300      500204                  9              1077           12
0010400      500204                  6               986           66
0010500      500204                 10              1175           18
0010600      500205                  6               986           78
0010700      500205                  7              1006          327
0010800      500205                  9              1080           15
0010900      500204                  9              1080           75
0011000      500204                  9              1080           51
0011100      500204                 10              1175           39
0011200      500204                 10              1175            6
0011300      500204                 10              1175           90
0011400      500204                  9              1076           48
0011500      500204                  9              1076            3
0011600      500202                  9              1076            9
0011700      500204                  9              1076           39
0011800      500204                  9              1076           39
0011900      500204                  9              1076           42
0012000      500204                 10              1281           27
0012101      500204                 10              1281            0
0012102      500204                 10              1281           30
0012103      500204                 10              1281           57
0012200      500204                 10              1281           33
0012300      500208                  9              1090           24
0012400      500208                  9              1090          102
0012500      500208                  8              1049           75
0012601      500208                  8              1049           27
0012602      500100                  8              1049           18
0012701      500208                  9              1100           66
0012702      500100                  9              1100           99
0012800      500208                  9              1100           33
0012902      500301                  8              1060           51
0012903      500301                  8              1060          114
0012904      500301                 10              1237          216
0013000      500301                 10              1263          198
0013100      500301                 10              1242          240
0013203      500302                 10              1247          273
0013204      500302                 10              1247           54
0013205      500302                 10              1252          102
0013206      500302                 10              1351          159
0013207      500302                 10              1252           90
0013300      500302                  9              1126          276
0013400      500302                  8              1071          144
0013500      500301                  9              1085           15
0013600      500302                  9              1085           48
0013700      500302                 10              1236          102
0013800      500302                  9              1085            0
0013900      500302                  9              1106           96
0014000      500302                  9              1106            6
0014100      500302                  9              1085           21
0014200      500302                  9              1085           15
0014300      500302                  7              1017           96
0014400      500302                  8              1040          267
0014500      500302                  7              1017            9
0014600      500301                  9              1085            3
0014700      500301                  9              1085           54
0014800      500301                  9              1085           18
0014900      500301                  7              1008          171
0015000      500301                  9              1092           66
0015100      500301                  9              1092          102
0015200      500301                  9              1125           69
0015300      500301                  9              1086          198
0015401      500301                  9              1125           18
0015402      500301                  9              1125          276
0015500      500301                 10              1291          342
0015600      500301                 10              1315          171
0015700      500301                 10              1161           75
0015800      500301                 10              1230          117
0015900      500301                 10              1230           84
0016000      500301                 10              1161           51
0016100      500301                  9              1106            6
0016200      500301                  9              1135           90
0016300      500301                  8              1051          132
0016400      500301                  8              1051           15
0016500      500301                  9              1106            3
0016600      500301                  9              1135           90
0016700      500301                 10              1333          111
0016800      500301                 10              1333           51
0016901      614001                                                 0
0016902      614002                                                 6
0017001      614503                                                 0
0017003      614504                                                 0
0017005      614502                                                 3
0017006      614502                                                 3
0017100      614602                                                 0
0017200      500402                  7              1017            0
0017301      500402                  7              1017           33
0017302      500402                  7              1017           42
0017401      500402                  6               975           99
0017402      500402                  6               975          102
0017500      500402                  7              1017           96
0017600      500402                  7              1017           72
0017700      500402                  9              1084           66
0017800      500402                  9              1084           96
0017900      500402                  9              1084           39
0018000      500402                  9              1084            9
0018100      500402                  8              1037          117
0018201      500402                  9              1103          126
0018202      500402                  8              1037            3
0018203      500401                  8              1037           21
0018300      500402                  8              1037           54
0018400      500402                  8              1037           15
0018500      500402                  9              1102           27
0018600      500402                  9              1102           39
0018700      500401                  9              1102           66
0018800      500401                  9              1102           90
0018900      500401                  9              1091          261
0019000      500402                  9              1091            9
0019100      500401                  9              1091           60
0019200      500402                  6               986           42
0019300      500402                  6               986           57
0019400      500402                  6               986          144
0019500      500402                  8              1054            0
0019600      500402                  8              1054           90
0019700      500402                  8              1054           78
0019801      500402                  9              1133           96
0019802      500402                  9              1133            9
0019900      500402                  5               972          156
0020000      500402                  9              1122          111
0020100      500402                                                 3
0020200      500402                  8              1033          228
0020300      500402                  8              1054          117
0020401      500402                  5               968          228
0020402      500402                  9              1074          132
0020500      614700                                                15
0020600      500801                  9              1114           18
0020700      500801                  9              1114           93
0020800      500801                  9              1114           45
0020900      500801                  9              1114           69
0021000      500801                  9              1114           36
0021100      500801                  8              1044           33
0021200      500801                  8              1044            9
0021300      500801                  8              1044           24
0021400      500801                  8              1044           48
0021500      500801                  8              1044           24
0021600      500801                  8              1044            6
0021700      500801                  8              1044            0
0021800      500801                  8              1044            0
0021900      500802                 10              1319           45
0022000      500802                 10              1319          111
0022100      500802                 10              1186           36
0022200      500802                 10              1186           27
0022300      500802                 10              1186           66
0022400      500802                 10              1186           30
0022500      500802                 10              1158          147
0022600      500802                 10              1158           27
0022700      500802                 10              1350           39
0022800      500802                 10              1350           63
0022900      500802                 10              1350           24
0023000      500802                 10              1350           57
0023100      500802                 10              1250          171
0023200      500802                  9              1129           51
0023300      500802                  9              1129           87
0023400      500802                 10              1250           93
0023500      500802                  9              1129            0
0023600      500600                 10              1257           75
0023700      500600                 10              1257          114
0023800      500600                  9              1130           96
0023900      500600                  9              1130           48
0024000      500600                  9              1130           78
0024100      500600                 10              1257           27
0024201      500600                 10              1257            0
0024202      500600                 10              1257            3
0024300      500802                 10              1160          102
0024400      500802                 10              1237          135
0024500      500802                 10              1307           69
0024600      500802                 10              1307           60
0024700      500802                 10              1307           24
0024800      500802                 10              1307            3
0024900      500802                  8              1056           36
0025000      500802                  8              1056           39
0025100      500802                 10              1161           54
0025200      500802                 10              1161           72
0025300      500802                 10              1161           84
0025400      500802                  9              1133           69
0025500      500802                  9              1133           60
0025600      500802                  9              1133           60
0025700      500802                  8              1056           24
0025800      500700                 10              1152           90
0025900      500700                  9              1132           69
0026001      500700                  9              1132            9
0026002      500700                  9              1132           66
0026100      500700                 10              1152           24
0026201      500802                  8              1062           36
0026202      500700                 10              1216          222
0026301      500802                  8              1062            0
0026302      500802                 10              1205           39
0026303      500802                  8              1062            3
0026304      500802                  8              1062           15
0026305      500802                  8              1062           27
0026400      500802                  8              1062           39
0026500      500802                 10              1205           78
0026600      500802                 10              1168           54
0026700      500802                 10              1168           24
0026800      500802                 10              1168           48
0026900      500802                 10              1265           57
0027000      500802                 10              1168            3
0027100      500802                 10              1265           72
0027200      500802                 10              1168            0
0027300      500802                 10              1158           15
0027400      500802                 10              1158           33
0027500      500802                 10              1158           39
0027600      500802                 10              1158           21
0027700      500802                 10              1158           42
0027800      500801                 10              1215           27
0027900      500801                 10              1215           24
0028000      500801                 10              1215           45
0028100      500801                 10              1215           45
0028200      500801                 10              1215           39
0028300      500801                 10              1149           93
0028400      500801                 10              1149            0
0028500      500801                  8              1053           30
0028600      500801                  8              1053           27
0028700      500801                  8              1053           27
0028800      500801                  8              1053           12
0028900      500801                  9              1126           63
0029000      500801                  9              1126           21
0029101      500801                 10              1274            3
0029102      500801                 10              1274            0
0029200      500801                 10              1274           54
0029301      500801                 10              1274            0
0029302      500801                 10              1274           18
0029400      500801                 10              1274           48
0029500      500801                 10              1274           48
0029600      500801                 10              1247           45
0029700      500801                 10              1247           45
0029800      500801                 10              1247           69
0029900      500801                 10              1247           27
0030000      500801                 10              1325           48
0030100      500801                 10              1325           30
0030200      500801                 10              1325           33
0030300      500801                 10              1325           36
0030400      500801                 10              1325           36
0030500      500801                 10              1325           48
0030600      500801                 10              1170           57
0030700      500801                 10              1170           96
0030800      500801                 10              1170           39
0030900      500801                 10              1170           21
0031000      500801                  9              1126           18
0031100      500801                  9              1126           36
0031200      500801                 10              1149           51
0031300      500801                 10              1149           36
0031400      500500                 10              1153           33
0031500      500500                 10              1153          108
0031600      500500                  9              1117           45
0031700      500801                  9              1117           27
0031800      500801                  9              1117           63
0031900      500801                  9              1117           60
0032000      500801                  9              1117            3
0032100      501633                  2               918           63
0032200      501633                  2               918           21
0032300      501631                  9              1109          129
0032400      501631                  2               918           27
0032501      501631                  9              1092           75
0032502      501631                  9              1092            0
0032600      501631                  9              1114          132
0032700      501631                  9              1092           45
0032800      501634                  9              1092           24
0032900      501631                  9              1092           27
0033000      501631                  9              1092           72
0033100      501631                  8              1036          159
0033200      501631                  6               999           36
0033300      501633                  6               999           30
0033400      501633                  6               999           54
0033500      501631                  6               999           18
0033600      501633                  3               935          138
0033700      501633                  3               935          207
0033800      501633                  5               959          132
0033900      501633                  2               899           75
0034000      501633                  2               899           36
0034101      501633                  2               908          207
0034102      501615                  4               947           30
0034201      501633                  4               947           96
0034202      501633                  2               914          108
0034301      501633                  2               911           72
0034302      501633                  2               911            6
0034400      501633                  2               911           93
0034500      501633                  1               898           39
0034600      501632                  1               898           66
0034700      501632                  7              1017          123
0034800      501632                  1               898           30
0034900      501632                  7              1017           60
0035000      501632                  7              1017           87
0035100      501632                  7              1017           15
0035200      501632                  5               962          111
0035300      501632                  7              1021           24
0035401      501632                  7              1021            9
0035402      501632                  7              1021           24
0035501      501634                  7              1021           51
0035502      501634                  7              1021            9
0035600      501634                  9              1101           54
0035700      501633                  4               950          120
0035800      501633                  8              1060          111
0035900      501633                  2               908          117
0036000      501633                  2               908           36
0036100      501633                  9              1078           69
0036201      501634                  5               970           27
0036202      501500                  5               970            9
0036301      501633                  5               970           21
0036302      501634                  5               970           75
0036303      501634                  5               970           21
0036401      501634                  2               908           48
0036402      501634                  2               908            9
0036500      501634                  8              1070           57
0036600      501634                  8              1070            0
0036700      501632                  9              1110          108
0036800      501632                  9              1110           24
0036901      501632                  9              1110            9
0036902      501632                  9              1110           21
0037000      501634                  9              1101          270
0037100      501634                  9              1101           33
0037200      501634                  8              1048           21
0037300      501634                  8              1048            3
0037401      501634                  8              1048           99
0037402      501634                 10              1357          132
0037501      501700                 10              1144           72
0037502      501634                 10              1144           24
0037600      501634                 10              1144           45
0037701      501634                 10              1144           21
0037702      501634                 10              1144           18
0037802      501700                 10              1273          249
0037803      501634                  6               978           48
0037804      501634                  6               978            9
0037805      501634                  6               978            9
0037806      501634                  6               978            0
0037807      501634                  6               978           69
0037901      501634                  9              1098           48
0037902      501634                  9              1098            0
0038001      501634                  9              1098           24
0038002      501634                  9              1098            0
0038100      501634                  9              1128           93
0038200      501634                 10              1244           66
0038300      501634                  9              1090           36
0038400      501634                  9              1090           24
0038500      501634                  9              1128           57
0038600      501634                  9              1090           54
0038700      501634                 10              1244           60
0038800      501634                  9              1098            3
0038900      501634                  9              1098           42
0039000      501634                  9              1134           93
0039100      501634                  9              1134           51
0039200      501634                  9              1134           45
0039300      501634                  9              1096           18
0039400      501634                  9              1096            9
0039500      501634                  9              1096           66
0039600      501634                 10              1140           60
0039700      501634                 10              1140           51
0039800      501634                 10              1140           48
0039900      501634                  8              1051           93
0040001      501634                  8              1051            0
0040002      501634                 10              1140           18
0040100      501634                  8              1051           24
0040200      501634                 10              1167           36
0040300      501634                 10              1167            9
0040400      501634                 10              1167           33
0040501      501634                 10              1167           78
0040502      501634                 10              1167            3
0040601      501634                 10              1167           48
0040602      501634                 10              1167            0
0040701      501700                  9              1134          141
0040702      501700                  9              1099           48
0040703      501700                  9              1099          114
0040801      501700                  9              1100          105
0040802      501700                  9              1100           51
0040900      501700                 10              1166           96
0041000      501700                 10              1166           57
0041100      501700                  9              1073          120
0041200      501700                 10              1168          165
0041300      501700                  9              1089          195
0041401      501700                 10              1187           48
0041402      501700                 10              1187           93
0041403      501700                 10              1187           90
0041500      501700                  9              1073           18
0041600      501700                 10              1212           69
0041700      501700                 10              1212          147
0041800      501700                  9              1138           99
0041900      501700                  9              1138          105
0042000      501700                 10              1242          216
0042100      501700                 10              1188          186
0042201      501700                 10              1188           48
0042202      501700                 10              1220          249
0042300      501700                 10              1277          180
0042400      501700                 10              1183          108
0042500      501700                  9              1131           99
0042600      501700                  9              1131           51
0042700      501700                 10              1172           93
0042800      501700                 10              1270            3
0042900      501700                 10              1270           72
0043000      501700                 10              1212          147
0043100      501700                 10              1172          108
0043200      501700                 10              1502          153
0043300      501700                 10              1183           60
0043400      501700                 10              1183           36
0043500      501700                 10              1145          141
0043600      501700                 10              1270           60
0043700      501700                 10              1145           27
0043800      501633                  3               920          144
0043902      501633                  4               937           36
0043904      501614                  4               937          114
0043905      501614                  5               960          126
0043906      501614                  5               954          234
0043907      501614                  4               943          117
0044003      501614                  7              1021          180
0044004      501614                  4               952          120
0044005      501614                  3               923          159
0044006      500402                  8              1065          117
0044007      501614                  8              1065           18
0044008      501614                  8              1065           57
0044101      501613                  8              1065            0
0044102      501614                  8              1043          252
0044201      501614                  7              1025           63
0044202      501613                  7              1025            3
0044301      501614                  7              1025           84
0044302      501613                  7              1025            0
0044402      501613                  5               963            9
0044403      501614                  5               963           90
0044404      501614                  5               963          174
0044405      501614                  2               915           69
0044406      501614                  2               915          132
0044501      501614                  3               930          279
0044502      500900                  5               960          369
0044601      500900                  2               911          315
0044602      500900                  5               956          111
0044701      501633                  5               961           99
0044702      501633                  6               985          156
0044703      501633                  5               961           12
0044801      501614                  1               888          180
0044802      500900                  3               929          300
0044901      501620                  9              1103           42
